Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
2/1/21,Meat/Fish,1,2,2,30,30,100,30
2/2/21,General Food,1,10,10,64,64,100,64
2/3/21,General Food,3,26,8.7,406,135.33,100,406
2/3/21,Meat/Fish,2,6,3,70,35,100,70
2/4/21,General Food,7,47,6.7,482.5,68.92,100,482.5
2/4/21,Meat/Fish,1,2,2,20,20,100,20
2/5/21,Drinks,1,1,1,33,33,100,33
2/5/21,General Food,6,41,6.8,407.5,67.91,100,407.5
2/5/21,Meat/Fish,2,2,1,35,17.5,100,35
2/5/21,Snacks,1,2,2,1,1,100,1
2/6/21,Drinks,2,3,1.5,67.5,33.75,100,67.5
2/6/21,General Food,9,51,5.7,686,76.22,100,686
2/6/21,Meat/Fish,2,2,1,30,15,100,30
2/6/21,Snacks,1,1,1,0.25,0.25,100,0.25
2/7/21,General Food,7,42,6,420,60,100,420
2/7/21,Meat/Fish,1,1,1,5,5,100,5
2/8/21,General Food,2,26,13,158.5,79.25,100,158.5
2/8/21,Meat/Fish,1,2,2,30,30,100,30
2/9/21,General Food,3,36,12,306,102,100,306
2/9/21,Snacks,3,8,2.7,4,1.33,100,4
2/10/21,General Food,2,14,7,79.5,39.75,100,79.5
2/11/21,Drinks,1,2,2,2,2,100,2
2/11/21,General Food,4,20,5,105.5,26.37,100,105.5
2/11/21,Meat/Fish,2,6,3,100,50,100,100
2/12/21,Drinks,1,4,4,36,36,100,36
2/12/21,General Food,8,53,6.6,596,74.5,100,596
2/12/21,Meat/Fish,3,5,1.7,100,33.33,100,100
2/12/21,Snacks,1,4,4,2,2,100,2
2/13/21,Drinks,1,4,4,4.5,4.5,100,4.5
2/13/21,General Food,4,21,5.3,183,45.75,100,183
2/13/21,Meat/Fish,4,10,2.5,190,47.5,100,190
2/13/21,Snacks,1,9,9,4.5,4.5,100,4.5
2/14/21,Drinks,1,1,1,1.5,1.5,100,1.5
2/14/21,General Food,2,9,4.5,264,132,100,264
2/15/21,General Food,3,45,15,432,144,100,432
2/15/21,Meat/Fish,3,5,1.7,90,30,100,90
2/15/21,Snacks,1,1,1,0.5,0.5,100,0.5
2/16/21,General Food,2,14,7,319.25,159.62,100,319.25
2/17/21,General Food,2,2,1,31,15.5,100,31
2/18/21,General Food,6,52,8.7,495.26,82.54,100,495.26
2/18/21,Meat/Fish,3,5,1.7,60,20,100,60
2/19/21,Drinks,2,2,1,2.5,1.25,100,2.5
2/19/21,General Food,2,7,3.5,80,40,100,80
2/20/21,General Food,2,7,3.5,64,32,100,64
2/22/21,Drinks,1,5,5,5,5,100,5
2/22/21,General Food,3,17,5.7,154,51.33,100,154
2/22/21,Meat/Fish,1,1,1,10,10,100,10
2/23/21,Drinks,2,6,3,6.75,3.37,100,6.75
2/23/21,General Food,5,46,9.2,438.51,87.7,100,438.51
2/23/21,Meat/Fish,1,2,2,40,40,100,40
2/23/21,Snacks,1,3,3,1.5,1.5,100,1.5
2/24/21,Drinks,1,2,2,18,18,100,18
2/24/21,General Food,5,61,12.2,975.76,195.15,100,975.76
2/25/21,Cleaning&body,1,2,2,18,18,100,18
2/25/21,General Food,3,12,4,72.5,24.16,100,72.5
2/25/21,Meat/Fish,1,1,1,10,10,100,10
2/25/21,Snacks,2,8,4,4,2,100,4
2/27/21,General Food,2,5,2.5,54,27,100,54
2/27/21,Meat/Fish,1,1,1,10,10,100,10
2/27/21,Snacks,1,1,1,0.5,0.5,100,0.5
