Upc,Department,qty,amount($),Name
70462035964,Snacks,1,1.5,Sour Patch Bags:Soft & Chewy Sour Then Sweet Kids
70462098501,Snacks,1,0.5,Sour Patch Kids:Sour then Sweet
70462098525,Snacks,1,0.5,Sour Patch:Watermelon
70462542509,Snacks,1,0.75,Swedish Fish Soft & Chewy Candy
70662010037,Snacks,1,0.5,Nissin Top Ramen Chicken Flavor
70662026038,Snacks,1,1.5,Ramen chicke
70662030011,General Food,1,1,Cup Noodles:Beef Flavor
70662030028,Snacks,1,1,Cup Noodles w/Shrimp
70662030035,General Food,1,1,Cup Noodles Chicken Flavor
70662087237,Snacks,1,1.5,Nissin:Teriyaki Beef Flavor
70662096314,General Food,1,1.5,Bowl Noodles:Hot & Spicy Chicken
70715074054,General Food,1,6.99,Corned Beef Exeter
70847003342,Drinks,1,8,Monster Rehab 4 Pack
70847028291,Drinks,1,10,Monster box
70847029014,Drinks,1,2,monter juice mango loco
70847811169,Drinks,1,2,Monster Energy Drink
70873010451,General Food,1,2,ajo
70907273128,Cleaning&body,1,4,Skyn
71072003657,General Food,1,3,Alessi Tip 'N Grind:Grinder
71140302057,General Food,1,1.5,Geisha Mackerel in Tomato Sauce
71140302071,General Food,1,3.5,Geisha Mackerel in Tomato Sauce
71140302101,General Food,1,3.99,Geisha Maquereau
71300001240,General Food,1,10,Ronzoni:Rotelle
71757010062,General Food,1,5,The Essence of Umami Aji-no-moto MSG
71960005091,General Food,1,1.5,Pink Pride
72030021621,Snacks,1,1,Little Bites
72071014125,General Food,1,0,La espanola Vegetables Oil
72320124414,Snacks,1,3,"Stauffer's:Lemon Snaps, Original Recipe"
72320124421,Snacks,1,3,Stauffer's:Ginger Snaps
72486002205,General Food,1,1.5,Jiffy Corn Muffin Mix
72718100112,Drinks,1,1,Mr pure orange
72718100136,Drinks,1,1.25,Mr pure apple
72718100174,Drinks,1,1.25,Mr pure fruit punch
72718100266,Drinks,1,1.75,Mr. Pure:Orange Juice
72718100280,Drinks,1,1.5,Mr. Pure:Apple Juice
72718100334,Drinks,1,1.75,Mr. Pure:Fruit Punch
72718100396,Drinks,1,1.25,mr.pure pineapple orange
72718100426,Drinks,1,1.75,Pure Lemon
72718100563,Drinks,1,1.25,Mr pure craneberry
72718100709,Drinks,1,1.75,Mr. Pure:Cranberry Juice Cocktail
72718100914,Drinks,1,1.75,Mr. Pure:Apple & Cranberry Juice
72718101812,Drinks,1,1.75,Pure Peach Watermelon
72718600339,Drinks,1,1.75,Pure Island Punc
72718600377,Drinks,1,1.75,Pure Pinapple
72718600384,Drinks,1,1.75,Pure Pinapple Watermelon
72718601213,Drinks,1,1.75,Pure Green Apple
72718601244,Drinks,1,1.75,Pure Pinapple Mango
72806057021,General Food,1,6,PER EXCELLENCE 5LBS
72806057137,General Food,1,8,PWR EXCELLENCE 10LBS
73390002022,General Food,1,0.5,Air Heads:Orange
73390002039,Snacks,1,0.5,Air Heads:Watermelon
73390002206,Snacks,1,0.5,Air Heads:Blue Raspberry
73390002213,Snacks,1,0.5,Air Heads:White Mystery
73390008383,Snacks,1,1,Air Heads Extreme:Sweetly Sour Belts
73390014384,Snacks,1,0.5,Air Heads:Grape
73621090033,Snacks,1,4.99,Pez:Hello Kitty
74265005995,Drinks,1,1,Vimto Fruit Flavoed Drink
74265023012,General Food,1,4.99,Ziyad Medium Couscous
74806000717,Drinks,1,0.5,Little Hug Orange Drink
74806000748,Drinks,1,0.5,Little Hug Lemon
74806000755,Drinks,1,0.5,Little Hug Fruit Punch Drink
74806001608,Drinks,1,0.75,Big Hug :Punch
74806001615,Drinks,1,0.75,Big Hug :Blue Raspberry
75720000616,Drinks,1,1,Poland Spring Natural Spring Water
75720000814,Drinks,1,0.5,Poland Spring
75720008513,Drinks,1,1,Poland Spring
75720431151,Drinks,1,1,Poland Spring Flip Cap Sport
75720445738,Drinks,1,1,Poland Spring Lime Sparkling Water
75724244405,Cleaning&body,1,5,Argan oil
76114364123,General Food,1,1.9,Spice Supreme Pure Black Ground Pepper
76114620724,General Food,1,1.9,SEA SALT
76171101051,Condiments,1,2,Little Trees Air Freshener Vanillaroma
76171103246,Household,1,1,Little Trees Air Freshener Caribbean Colada
76171171771,General Food,1,1,Little tree
76171320551,Cleaning&body,1,2,LITTLE TREES
76183164259,Drinks,1,1,Snapple
76183202036,Drinks,1,1,Snapple:Kiwi Strawberry
76183202043,Drinks,1,1,Snapple Mango
76183202081,Drinks,1,1,"Snapple:Juice Drink, Snapple Apple"
76183224939,Drinks,1,1,Snapple
76183463161,Drinks,1,1,Snapple
76808280081,General Food,1,2,Barilla:Spaghetti
76840100583,General Food,1,1.5,Ben & Jerry's:Chocolate Chip Cookie Dough
76840101184,General Food,1,3.99,Ben & Jerry's:Pistachio Pistachio
77034009873,Snacks,1,1,Kar's:Sweet 'n Salty Mix
77260041319,Condiments,1,10,Food
77644304320,General Food,1,3.99,"Francesco Rinaldi:Pasta Sauce, Traditional Marinara"
77890343845,Cleaning&body,1,4.99,Antiseptic oral rinse
77890440155,General Food,1,5.99,strzwberry
77890939925,Household,1,2,"Wegmans:Milk, 1% Low Fat"
77975022177,Snacks,1,0.5,Snyder's of Hanover:Mini Pretzels
78000001174,Drinks,1,0,Canada Dry
78000003963,Drinks,1,1.25,Schweppes Ginger Ale
78000013252,Drinks,1,1.25,Crush Orange Soda
78000013283,Drinks,1,1.25,Crush Orange Soda
78000152401,Snacks,1,1,Canada Dry Ginger Ale
78742049601,Cleaning&body,1,3,Glass Cleaner
78742151977,General Food,1,5,Hot cocoa
78742226996,General Food,1,9.9,Canola
78742237862,General Food,1,0,Sardine
78742292984,General Food,1,25,Jasmine
78742364667,General Food,1,2.5,Black beans
79200143367,Snacks,1,0,Wonka:Cherry 
79200183172,General Food,1,1.5,Pixy Stix
79200650100,Snacks,1,1,Laffy Taffy
79400062963,Cleaning&body,1,3.99,Suave Hair - Men's:3-In-1 Citrus Rush
79400260932,Cleaning&body,1,3.5,Axe Apollo Deodorant Bodyspray
79400265401,Cleaning&body,1,4.39,Degree Men:Cool Rush
79400265708,Cleaning&body,1,2,Degree Men:Sport
79400448347,Cleaning&body,1,3,Dove
79400587084,Cleaning&body,1,1.5,DEORANT
80000003348,Household,1,3.99,StarKist:Chunk Light In Water
80000006738,General Food,1,3.5,StarKist:Chunk Light In Water
80000513090,General Food,1,1,StarKist Tuna Creations:80 Calories - Lemon Pepper
80000514202,General Food,1,0.99,StarKist Tuna Creations:80 Calories - Ranch
85003448141,General Food,1,7,Matable
