Date,Department,# of Baskets,# of Items,Avg Items,Sales $,Avg Sale,Scan Rate,Scan Sales
1/9/21,Snacks,1,4,4,$6.00 ,$6.00 ,100,$6.00 
1/10/21,Drinks,1,1,1,$1.50 ,$1.50 ,100,$1.50 
1/10/21,General Food,7,18,2.6,$148.00 ,$21.14 ,100,$148.00 
1/10/21,Meat/Fish,3,4,1.3,$80.00 ,$26.66 ,100,$80.00 
1/11/21,Drinks,1,3,3,$3.00 ,$3.00 ,100,$3.00 
1/11/21,General Food,3,10,3.3,$49.00 ,$16.33 ,100,$49.00 
1/11/21,Meat/Fish,2,2,1,$20.00 ,$10.00 ,100,$20.00 
1/12/21,General Food,2,5,2.5,$25.00 ,$12.50 ,100,$25.00 
1/13/21,Drinks,1,3,3,$4.50 ,$4.50 ,100,$4.50 
1/13/21,General Food,6,49,8.2,$586.00 ,$97.66 ,100,$586.00 
1/13/21,Meat/Fish,3,8,2.7,$90.00 ,$30.00 ,100,$90.00 
1/13/21,Snacks,1,1,1,$0.50 ,$0.50 ,100,$0.50 
1/14/21,General Food,6,16,2.7,$125.00 ,$20.83 ,100,$125.00 
1/14/21,Meat/Fish,4,7,1.8,$100.00 ,$25.00 ,100,$100.00 
1/15/21,General Food,2,12,6,$70.00 ,$35.00 ,100,$70.00 
1/16/21,General Food,3,7,2.3,$33.00 ,$11.00 ,100,$33.00 
1/16/21,Meat/Fish,2,2,1,$30.00 ,$15.00 ,100,$30.00 
1/17/21,Drinks,1,1,1,$9.00 ,$9.00 ,100,$9.00 
1/17/21,General Food,2,19,9.5,$250.00 ,$125.00 ,100,$250.00 
1/17/21,Snacks,2,16,8,$8.00 ,$4.00 ,100,$8.00 
1/18/21,General Food,2,13,6.5,$91.00 ,$45.50 ,100,$91.00 
1/18/21,Meat/Fish,1,3,3,$50.00 ,$50.00 ,100,$50.00 
1/20/21,General Food,2,15,7.5,$109.50 ,$54.75 ,100,$109.50 
1/20/21,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
1/21/21,General Food,7,25,3.6,$154.00 ,$22.00 ,100,$154.00 
1/21/21,Snacks,1,1,1,$0.50 ,$0.50 ,100,$0.50 
1/22/21,Drinks,1,1,1,$1.00 ,$1.00 ,100,$1.00 
1/22/21,General Food,6,40,6.7,$293.00 ,$48.83 ,100,$293.00 
1/22/21,Meat/Fish,2,3,1.5,$40.00 ,$20.00 ,100,$40.00 
1/22/21,Snacks,1,3,3,$1.05 ,$1.05 ,100,$1.05 
1/23/21,General Food,4,26,6.5,$489.00 ,$122.25 ,100,$489.00 
1/24/21,General Food,1,3,3,$15.00 ,$15.00 ,100,$15.00 
1/25/21,Drinks,1,2,2,$64.00 ,$64.00 ,100,$64.00 
1/25/21,General Food,2,16,8,$251.00 ,$125.50 ,100,$251.00 
1/25/21,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
1/25/21,Snacks,2,6,3,$7.50 ,$3.75 ,100,$7.50 
1/26/21,Drinks,1,1,1,$32.00 ,$32.00 ,100,$32.00 
1/26/21,General Food,3,7,2.3,$88.00 ,$29.33 ,100,$88.00 
1/26/21,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
1/27/21,General Food,1,2,2,$12.00 ,$12.00 ,100,$12.00 
1/27/21,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
1/29/21,Drinks,2,7,3.5,$79.00 ,$39.50 ,100,$79.00 
1/29/21,General Food,6,68,11.3,$615.00 ,$102.50 ,100,$615.00 
1/29/21,Meat/Fish,3,5,1.7,$90.00 ,$30.00 ,100,$90.00 
1/29/21,Snacks,1,1,1,$0.34 ,$0.34 ,100,$0.34 
1/30/21,General Food,3,52,17.3,$539.00 ,$179.66 ,100,$539.00 
1/30/21,Meat/Fish,1,2,2,$30.00 ,$30.00 ,100,$30.00 
1/31/21,General Food,2,6,3,$356.00 ,$178.00 ,100,$356.00 
2/1/21,Drinks,2,4,2,$44.00 ,$22.00 ,100,$44.00 
2/1/21,General Food,4,52,13,$368.00 ,$92.00 ,100,$368.00 
2/1/21,Meat/Fish,1,2,2,$30.00 ,$30.00 ,100,$30.00 
2/2/21,General Food,1,10,10,$64.00 ,$64.00 ,100,$64.00 
2/3/21,General Food,3,26,8.7,$406.00 ,$135.33 ,100,$406.00 
2/3/21,Meat/Fish,2,6,3,$70.00 ,$35.00 ,100,$70.00 
2/4/21,General Food,7,47,6.7,$482.50 ,$68.92 ,100,$482.50 
2/4/21,Meat/Fish,1,2,2,$20.00 ,$20.00 ,100,$20.00 
2/5/21,Drinks,1,1,1,$33.00 ,$33.00 ,100,$33.00 
2/5/21,General Food,6,41,6.8,$407.50 ,$67.91 ,100,$407.50 
2/5/21,Meat/Fish,2,2,1,$35.00 ,$17.50 ,100,$35.00 
2/5/21,Snacks,1,2,2,$1.00 ,$1.00 ,100,$1.00 
2/6/21,Drinks,2,3,1.5,$67.50 ,$33.75 ,100,$67.50 
2/6/21,General Food,9,51,5.7,$686.00 ,$76.22 ,100,$686.00 
2/6/21,Meat/Fish,2,2,1,$30.00 ,$15.00 ,100,$30.00 
2/6/21,Snacks,1,1,1,$0.25 ,$0.25 ,100,$0.25 
2/7/21,General Food,7,42,6,$420.00 ,$60.00 ,100,$420.00 
2/7/21,Meat/Fish,1,1,1,$5.00 ,$5.00 ,100,$5.00 
2/8/21,General Food,2,26,13,$158.50 ,$79.25 ,100,$158.50 
2/8/21,Meat/Fish,1,2,2,$30.00 ,$30.00 ,100,$30.00 
2/9/21,General Food,3,36,12,$306.00 ,$102.00 ,100,$306.00 
2/9/21,Snacks,3,8,2.7,$4.00 ,$1.33 ,100,$4.00 
2/10/21,General Food,2,14,7,$79.50 ,$39.75 ,100,$79.50 
2/11/21,Drinks,1,2,2,$2.00 ,$2.00 ,100,$2.00 
2/11/21,General Food,4,20,5,$105.50 ,$26.37 ,100,$105.50 
2/11/21,Meat/Fish,2,6,3,$100.00 ,$50.00 ,100,$100.00 
2/12/21,Drinks,1,4,4,$36.00 ,$36.00 ,100,$36.00 
2/12/21,General Food,8,53,6.6,$596.00 ,$74.50 ,100,$596.00 
2/12/21,Meat/Fish,3,5,1.7,$100.00 ,$33.33 ,100,$100.00 
2/12/21,Snacks,1,4,4,$2.00 ,$2.00 ,100,$2.00 
2/13/21,Drinks,1,4,4,$4.50 ,$4.50 ,100,$4.50 
2/13/21,General Food,4,21,5.3,$183.00 ,$45.75 ,100,$183.00 
2/13/21,Meat/Fish,4,10,2.5,$190.00 ,$47.50 ,100,$190.00 
2/13/21,Snacks,1,9,9,$4.50 ,$4.50 ,100,$4.50 
2/14/21,Drinks,1,1,1,$1.50 ,$1.50 ,100,$1.50 
2/14/21,General Food,2,9,4.5,$264.00 ,$132.00 ,100,$264.00 
2/15/21,General Food,3,45,15,$432.00 ,$144.00 ,100,$432.00 
2/15/21,Meat/Fish,3,5,1.7,$90.00 ,$30.00 ,100,$90.00 
2/15/21,Snacks,1,1,1,$0.50 ,$0.50 ,100,$0.50 
2/16/21,General Food,2,14,7,$319.25 ,$159.62 ,100,$319.25 
2/17/21,General Food,2,2,1,$31.00 ,$15.50 ,100,$31.00 
2/18/21,General Food,6,52,8.7,$495.26 ,$82.54 ,100,$495.26 
2/18/21,Meat/Fish,3,5,1.7,$60.00 ,$20.00 ,100,$60.00 
2/19/21,Drinks,2,2,1,$2.50 ,$1.25 ,100,$2.50 
2/19/21,General Food,2,7,3.5,$80.00 ,$40.00 ,100,$80.00 
2/20/21,General Food,2,7,3.5,$64.00 ,$32.00 ,100,$64.00 
2/22/21,Drinks,1,5,5,$5.00 ,$5.00 ,100,$5.00 
2/22/21,General Food,3,17,5.7,$154.00 ,$51.33 ,100,$154.00 
2/22/21,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
2/23/21,Drinks,2,6,3,$6.75 ,$3.37 ,100,$6.75 
2/23/21,General Food,5,46,9.2,$438.51 ,$87.70 ,100,$438.51 
2/23/21,Meat/Fish,1,2,2,$40.00 ,$40.00 ,100,$40.00 
2/23/21,Snacks,1,3,3,$1.50 ,$1.50 ,100,$1.50 
2/24/21,Drinks,1,2,2,$18.00 ,$18.00 ,100,$18.00 
2/24/21,General Food,5,61,12.2,$975.76 ,$195.15 ,100,$975.76 
2/25/21,Cleaning&body,1,2,2,$18.00 ,$18.00 ,100,$18.00 
2/25/21,General Food,3,12,4,$72.50 ,$24.16 ,100,$72.50 
2/25/21,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
2/25/21,Snacks,2,8,4,$4.00 ,$2.00 ,100,$4.00 
2/27/21,General Food,2,5,2.5,$54.00 ,$27.00 ,100,$54.00 
2/27/21,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
2/27/21,Snacks,1,1,1,$0.50 ,$0.50 ,100,$0.50 
